"SampleID";"ASV1";"ASV2";"ASV3";"ASV4";"ASV5";"ASV6";"ASV7";"ASV8";"ASV9";"ASV10";"ASV11";"ASV12";"ASV13";"ASV14";"ASV15";"ASV16";"ASV17";"ASV18";"ASV19";"ASV20";"ASV21";"ASV22";"ASV23";"ASV24";"ASV25";"ASV26";"ASV27";"ASV28";"ASV29";"ASV32";"ASV33";"ASV34";"ASV35";"ASV36";"ASV37";"ASV38";"ASV39";"ASV40";"ASV41";"ASV42";"ASV43";"ASV44";"ASV46";"ASV47";"ASV49";"ASV50";"ASV51";"ASV52";"ASV53";"ASV54";"ASV55";"ASV56";"ASV57";"ASV58";"ASV59";"ASV61";"ASV65";"ASV66";"ASV67";"ASV68";"ASV69";"ASV70";"ASV72";"ASV73";"ASV75";"ASV76";"ASV77";"ASV78";"ASV79";"ASV80";"ASV81";"ASV83";"ASV84";"ASV85";"ASV86";"ASV87";"ASV90";"ASV91";"ASV92";"ASV93";"ASV94";"ASV95";"ASV96";"ASV97";"ASV98";"ASV99";"ASV100";"ASV101";"ASV103";"ASV104";"ASV105";"ASV106";"ASV107";"ASV109";"ASV110";"ASV111";"ASV113";"ASV114";"ASV115";"ASV116";"ASV117";"ASV119";"ASV120";"ASV121";"ASV122";"ASV123";"ASV124";"ASV126";"ASV127";"ASV128";"ASV129";"ASV130";"ASV131";"ASV132";"ASV133";"ASV134";"ASV135";"ASV136";"ASV137";"ASV138";"ASV139";"ASV140";"ASV141";"ASV143";"ASV144";"ASV146";"ASV147";"ASV148";"ASV149";"ASV150";"ASV152";"ASV153";"ASV155";"ASV156";"ASV157";"ASV158";"ASV159";"ASV160";"ASV161";"ASV162";"ASV163";"ASV164";"ASV165";"ASV166";"ASV168";"ASV169";"ASV170";"ASV172";"ASV173";"ASV174";"ASV175";"ASV176";"ASV177";"ASV178";"ASV179";"ASV182";"ASV183";"ASV185";"ASV186";"ASV187";"ASV188";"ASV189";"ASV190";"ASV191";"ASV194";"ASV195";"ASV197";"ASV198";"ASV199";"ASV200";"ASV201";"ASV202";"ASV203";"ASV204";"ASV206";"ASV207";"ASV208";"ASV211";"ASV212";"ASV213";"ASV214";"ASV215";"ASV216";"ASV217";"ASV218";"ASV219";"ASV221";"ASV222";"ASV223";"ASV225";"ASV226";"ASV227";"ASV228";"ASV230";"ASV232";"ASV235";"ASV236";"ASV237";"ASV239";"ASV240";"ASV241";"ASV242";"ASV243";"ASV244";"ASV246";"ASV247";"ASV248";"ASV250";"ASV251";"ASV252";"ASV253";"ASV257";"ASV258";"ASV259";"ASV261";"ASV263";"ASV265";"ASV266";"ASV267";"ASV269";"ASV270";"ASV271";"ASV272";"ASV275";"ASV277";"ASV280";"ASV282";"ASV283";"ASV284";"ASV287";"ASV290";"ASV291";"ASV294";"ASV295";"ASV296";"ASV297";"ASV298";"ASV299";"ASV300";"ASV304";"ASV305";"ASV306";"ASV308";"ASV309";"ASV310";"ASV311";"ASV314";"ASV318";"ASV319";"ASV323";"ASV326";"ASV328";"ASV329";"ASV331";"ASV333";"ASV334";"ASV336";"ASV337";"ASV338";"ASV339";"ASV340";"ASV342";"ASV344";"ASV345";"ASV346";"ASV352";"ASV353";"ASV354";"ASV355";"ASV360";"ASV361";"ASV362";"ASV363";"ASV365";"ASV370";"ASV371";"ASV374";"ASV376";"ASV383";"ASV389";"ASV393";"ASV394";"ASV395";"ASV397";"ASV399";"ASV400";"ASV401";"ASV402";"ASV408";"ASV410"
"LN125.1";26778;3654;2407;10299;21;0;0;1122;13;0;0;0;25;77;16;0;0;2252;0;23;9;0;0;0;0;0;0;0;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LN125.2";16296;6912;12411;8844;7;0;0;497;9;0;0;0;63;132;0;0;0;1420;0;8;6;0;0;0;0;0;0;0;0;0;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0
"LN125.3";13730;4452;17505;7303;4;0;0;423;7;0;0;0;35;89;0;0;0;3372;0;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"LN250.1";15587;3594;20742;4266;0;0;0;1147;0;0;0;0;117;75;0;0;0;159;0;0;5;0;0;0;914;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;170;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"LN250.2";16393;4986;19468;3554;0;0;0;1301;0;0;0;0;20;98;0;0;0;143;0;0;1;0;0;0;819;0;0;0;0;0;0;158;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LN250.3";5823;7629;21205;3161;0;0;0;1154;0;0;0;0;7;136;0;0;0;10;5417;0;0;0;0;959;1117;0;0;0;0;0;0;128;0;0;0;0;0;0;0;0;0;195;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"LN500.1";14851;2363;16492;7327;0;1;0;490;19;0;0;0;117;0;15;0;0;2503;21;0;7;0;0;2259;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"LN500.2";11858;7970;16744;4999;0;1;0;2354;4;0;0;0;0;0;4;0;0;150;0;0;23;0;0;1445;388;0;0;0;0;0;0;79;0;370;0;0;0;0;0;0;475;59;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"LN500.3";24391;5966;10821;3975;1;7;0;574;13;0;0;0;0;46;0;0;0;472;0;0;20;8;6;8;431;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;84;32;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LP125.1";40213;2277;0;4374;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
