"SampleID";"group";"type";"treatment";"density";"repl"
"LN125.1";"LN125";"larvae";"sorb-";"1.25";1
"LN125.2";"LN125";"larvae";"sorb-";"1.25";2
"LN125.3";"LN125";"larvae";"sorb-";"1.25";3
"LN250.1";"LN250";"larvae";"sorb-";"2.5";1
"LN250.2";"LN250";"larvae";"sorb-";"2.5";2
"LN250.3";"LN250";"larvae";"sorb-";"2.5";3
"LN500.1";"LN500";"larvae";"sorb-";"5";1
"LN500.2";"LN500";"larvae";"sorb-";"5";2
"LN500.3";"LN500";"larvae";"sorb-";"5";3
"LP125.1";"LP125";"larvae";"sorb+";"1.25";1
"LP125.2";"LP125";"larvae";"sorb+";"1.25";2
"LP125.3";"LP125";"larvae";"sorb+";"1.25";3
"LP250.1";"LP250";"larvae";"sorb+";"2.5";1
"LP250.2";"LP250";"larvae";"sorb+";"2.5";2
"LP250.3";"LP250";"larvae";"sorb+";"2.5";3
"LP500.1";"LP500";"larvae";"sorb+";"5";1
"LP500.2";"LP500";"larvae";"sorb+";"5";2
"LP500.3";"LP500";"larvae";"sorb+";"5";3
"LS.1";"LS";"larvae";"start";"start";1
"LS.2";"LS";"larvae";"start";"start";2
"LS.3";"LS";"larvae";"start";"start";3
