"SampleID";"ASV1";"ASV2";"ASV3";"ASV4";"ASV5";"ASV6";"ASV7";"ASV8";"ASV9";"ASV10";"ASV11";"ASV12";"ASV13";"ASV14";"ASV15";"ASV16";"ASV17";"ASV18";"ASV19";"ASV20";"ASV21";"ASV22";"ASV23";"ASV24";"ASV25";"ASV26";"ASV27";"ASV28";"ASV29";"ASV32";"ASV33";"ASV34";"ASV35";"ASV36";"ASV37";"ASV38";"ASV39";"ASV40";"ASV41";"ASV42";"ASV43";"ASV44";"ASV46";"ASV47";"ASV49";"ASV50";"ASV51";"ASV52";"ASV53";"ASV54";"ASV55";"ASV56";"ASV57";"ASV58";"ASV59";"ASV61";"ASV65";"ASV66";"ASV67";"ASV68";"ASV69";"ASV70";"ASV72";"ASV73";"ASV75";"ASV76";"ASV77";"ASV78";"ASV79";"ASV80";"ASV81";"ASV83";"ASV84";"ASV85";"ASV86";"ASV87";"ASV90";"ASV91";"ASV92";"ASV93";"ASV94";"ASV95";"ASV96";"ASV97";"ASV98";"ASV99";"ASV100";"ASV101";"ASV103";"ASV104";"ASV105";"ASV106";"ASV107";"ASV109";"ASV110";"ASV111";"ASV113";"ASV114";"ASV115";"ASV116";"ASV117";"ASV119";"ASV120";"ASV121";"ASV122";"ASV123";"ASV124";"ASV126";"ASV127";"ASV128";"ASV129";"ASV130";"ASV131";"ASV132";"ASV133";"ASV134";"ASV135";"ASV136";"ASV137";"ASV138";"ASV139";"ASV140";"ASV141";"ASV143";"ASV144";"ASV146";"ASV147";"ASV148";"ASV149";"ASV150";"ASV152";"ASV153";"ASV155";"ASV156";"ASV157";"ASV158";"ASV159";"ASV160";"ASV161";"ASV162";"ASV163";"ASV164";"ASV165";"ASV166";"ASV168";"ASV169";"ASV170";"ASV172";"ASV173";"ASV174";"ASV175";"ASV176";"ASV177";"ASV178";"ASV179";"ASV182";"ASV183";"ASV185";"ASV186";"ASV187";"ASV188";"ASV189";"ASV190";"ASV191";"ASV194";"ASV195";"ASV197";"ASV198";"ASV199";"ASV200";"ASV201";"ASV202";"ASV203";"ASV204";"ASV206";"ASV207";"ASV208";"ASV211";"ASV212";"ASV213";"ASV214";"ASV215";"ASV216";"ASV217";"ASV218";"ASV219";"ASV221";"ASV222";"ASV223";"ASV225";"ASV226";"ASV227";"ASV228";"ASV230";"ASV232";"ASV235";"ASV236";"ASV237";"ASV239";"ASV240";"ASV241";"ASV242";"ASV243";"ASV244";"ASV246";"ASV247";"ASV248";"ASV250";"ASV251";"ASV252";"ASV253";"ASV257";"ASV258";"ASV259";"ASV261";"ASV263";"ASV265";"ASV266";"ASV267";"ASV269";"ASV270";"ASV271";"ASV272";"ASV275";"ASV277";"ASV280";"ASV282";"ASV283";"ASV284";"ASV287";"ASV290";"ASV291";"ASV294";"ASV295";"ASV296";"ASV297";"ASV298";"ASV299";"ASV300";"ASV304";"ASV305";"ASV306";"ASV308";"ASV309";"ASV310";"ASV311";"ASV314";"ASV318";"ASV319";"ASV323";"ASV326";"ASV328";"ASV329";"ASV331";"ASV333";"ASV334";"ASV336";"ASV337";"ASV338";"ASV339";"ASV340";"ASV342";"ASV344";"ASV345";"ASV346";"ASV352";"ASV353";"ASV354";"ASV355";"ASV360";"ASV361";"ASV362";"ASV363";"ASV365";"ASV370";"ASV371";"ASV374";"ASV376";"ASV383";"ASV389";"ASV393";"ASV394";"ASV395";"ASV397";"ASV399";"ASV400";"ASV401";"ASV402";"ASV408";"ASV410"
"FN000.1";25;613;0;0;10270;801;1224;0;108;82;10336;321;0;6611;1941;0;2245;0;0;0;0;436;1361;0;0;142;6918;1059;0;1164;39;0;0;0;0;0;0;0;0;8;0;0;0;205;0;6;0;682;0;35;0;0;0;0;0;0;0;0;0;56;0;146;0;3;0;0;0;13;0;0;0;0;35;0;0;0;0;0;0;0;17;0;0;17;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN000.2";0;0;0;0;4215;2208;494;0;131;26;19601;142;0;9907;1756;0;816;0;0;0;0;409;1481;0;0;83;0;622;0;2274;21;0;0;0;9;0;0;0;1453;0;0;0;0;155;0;0;0;0;0;415;0;0;0;0;349;0;0;14;0;138;0;0;0;0;0;0;92;12;0;0;0;0;51;0;0;0;1;0;0;6;43;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN000.3";0;33458;0;0;1963;756;119;0;70;16;5946;16;0;963;989;0;405;0;0;0;0;267;777;0;0;10;1;389;0;683;15;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN125.1";31069;720;0;3218;701;435;25;191;1646;1;384;0;1848;618;1708;0;0;0;0;2655;5;504;594;0;0;4;0;137;0;31;1;39;12;0;18;0;0;53;0;0;0;0;0;11;0;0;0;0;9;0;0;139;0;0;0;89;0;0;0;0;0;0;0;0;48;0;0;10;0;0;0;2;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN125.2";24062;901;214;5416;1342;464;16;136;2963;0;476;0;5254;820;1823;0;0;0;0;1291;0;469;635;0;0;11;0;93;0;34;0;0;26;0;8;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;32;339;0;0;47;0;0;0;0;0;0;0;0;39;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN125.3";25102;1680;1184;2380;967;448;43;137;1801;7;443;0;5640;772;1761;0;0;0;0;2843;1;469;740;0;0;15;0;214;0;36;0;0;13;0;7;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;1;0;81;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN250.1";39237;356;758;208;469;28;0;44;53;0;15;0;5267;48;59;0;0;36;0;0;5;0;13;0;57;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;0;0;0;0;8;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN250.2";35241;895;852;238;552;8;0;25;15;0;35;0;4921;0;49;0;0;56;0;0;3;0;13;0;42;0;0;0;2706;0;0;37;6;0;0;0;0;0;0;0;0;0;0;0;682;0;0;0;116;0;0;0;0;294;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN250.3";42314;211;517;92;310;5;0;59;6;2;22;0;885;0;18;517;0;4;661;0;0;0;4;24;13;0;5;0;1132;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;0;0;0;14;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FN500.1";38654;333;1250;56;183;28;0;22;25;0;12;0;285;0;23;4168;0;59;1598;0;0;0;0;182;62;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
