"SampleID";"group";"type";"treatment";"density";"repl"
"FN000.1";"FN000";"food waste";"sorb-";"0";1
"FN000.2";"FN000";"food waste";"sorb-";"0";2
"FN000.3";"FN000";"food waste";"sorb-";"0";3
"FN125.1";"FN125";"food waste";"sorb-";"1.25";1
"FN125.2";"FN125";"food waste";"sorb-";"1.25";2
"FN125.3";"FN125";"food waste";"sorb-";"1.25";3
"FN250.1";"FN250";"food waste";"sorb-";"2.5";1
"FN250.2";"FN250";"food waste";"sorb-";"2.5";2
"FN250.3";"FN250";"food waste";"sorb-";"2.5";3
"FN500.1";"FN500";"food waste";"sorb-";"5";1
"FN500.2";"FN500";"food waste";"sorb-";"5";2
"FN500.3";"FN500";"food waste";"sorb-";"5";3
"FP000.1";"FP000";"food waste";"sorb+";"0";1
"FP000.2";"FP000";"food waste";"sorb+";"0";2
"FP000.3";"FP000";"food waste";"sorb+";"0";3
"FP125.1";"FP125";"food waste";"sorb+";"1.25";1
"FP125.2";"FP125";"food waste";"sorb+";"1.25";2
"FP125.3";"FP125";"food waste";"sorb+";"1.25";3
"FP250.1";"FP250";"food waste";"sorb+";"2.5";1
"FP250.2";"FP250";"food waste";"sorb+";"2.5";2
"FP250.3";"FP250";"food waste";"sorb+";"2.5";3
"FP500.1";"FP500";"food waste";"sorb+";"5";1
"FP500.2";"FP500";"food waste";"sorb+";"5";2
"FP500.3";"FP500";"food waste";"sorb+";"5";3
"FS.1";"FS";"food waste";"start";"start";1
"FS.2";"FS";"food waste";"start";"start";2
"FS.3";"FS";"food waste";"start";"start";3
