SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
LN125.1;ASV1;26778;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
LN125.1;ASV2;3654;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
LN125.1;ASV3;2407;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter*
LN125.1;ASV4;10299;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
LN125.1;ASV5;21;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
LN125.1;ASV6;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
LN125.1;ASV7;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
LN125.1;ASV8;1122;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
LN125.1;ASV9;13;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus
LN125.1;ASV13;25;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Mammaliicoccus*
LN125.1;ASV14;77;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
LN125.1;ASV15;16;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
LN125.1;ASV18;2252;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
LN125.1;ASV19;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus
LN125.1;ASV20;23;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
LN125.1;ASV21;9;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
LN125.1;ASV22;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
LN125.1;ASV23;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
LN125.1;ASV24;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella
LN125.1;ASV25;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
LN125.1;ASV28;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
LN125.1;ASV34;241;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
LN125.1;ASV35;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
LN125.1;ASV36;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
LN125.1;ASV37;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus
LN125.1;ASV40;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
LN125.1;ASV43;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter*
LN125.1;ASV44;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus*
LN125.1;ASV46;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
LN125.1;ASV50;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
LN125.1;ASV53;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
