SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
FN000.1;ASV1;25;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
FN000.1;ASV2;613;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
FN000.1;ASV3;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter*
FN000.1;ASV4;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
FN000.1;ASV5;10270;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
FN000.1;ASV6;801;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV7;1224;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
FN000.1;ASV8;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
FN000.1;ASV9;108;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus
FN000.1;ASV10;82;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
FN000.1;ASV11;10336;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV12;321;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
FN000.1;ASV13;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Mammaliicoccus*
FN000.1;ASV14;6611;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
FN000.1;ASV15;1941;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
FN000.1;ASV16;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes
FN000.1;ASV17;2245;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
FN000.1;ASV18;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
FN000.1;ASV19;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus
FN000.1;ASV20;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV21;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
FN000.1;ASV22;436;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
FN000.1;ASV23;1361;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
FN000.1;ASV24;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella
FN000.1;ASV25;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
FN000.1;ASV26;142;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
FN000.1;ASV27;6918;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
FN000.1;ASV28;1059;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
FN000.1;ASV29;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pseudogracilibacillus
FN000.1;ASV32;1164;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV33;39;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
FN000.1;ASV34;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
FN000.1;ASV35;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
FN000.1;ASV36;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
FN000.1;ASV37;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus
FN000.1;ASV38;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella
FN000.1;ASV39;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
FN000.1;ASV40;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV41;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 18
FN000.1;ASV42;8;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
FN000.1;ASV43;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter*
FN000.1;ASV44;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus*
FN000.1;ASV47;205;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
FN000.1;ASV49;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pseudogracilibacillus
FN000.1;ASV50;6;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
FN000.1;ASV51;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
FN000.1;ASV52;682;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus
FN000.1;ASV53;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV54;35;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Bacillus*
FN000.1;ASV55;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
FN000.1;ASV56;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV57;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia
FN000.1;ASV58;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium
FN000.1;ASV59;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus
FN000.1;ASV61;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium
FN000.1;ASV66;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus
FN000.1;ASV67;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium
FN000.1;ASV68;56;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Cellulosimicrobium
