ID;DENSITY;SUBST;REPLICATE;NUM_LAR;LAR_IN_FM;LAR_IN_DM;SUB_IN_FM;SUB_IN_DM;LAR_OUT_FM;LAR_OUT_DM;SUB_OUT_FM;SUB_OUT_DM
5SORBN-1;5;sorb-;1;451;1.06;0.25;451.25;96.74;95.8;25.64;152.48;23.05
5SORBN-2;5;sorb-;2;451;1.06;0.25;451.25;96.74;90.7;24.27;142.91;19.86
5SORBN-3;5;sorb-;3;451;1.06;0.25;451.25;96.74;87.89;23.52;155.08;24.22
5SORBN-4;5;sorb-;4;451;1.06;0.25;451.25;96.74;90.35;24.18;155.96;26.23
5SORBP-1;5;sorb+;1;451;1.06;0.25;451.25;96.74;97.19;25.48;145.88;23.22
5SORBP-2;5;sorb+;2;451;1.06;0.25;451.25;96.74;79.71;20.9;179.35;33.8
5SORBP-3;5;sorb+;3;451;1.06;0.25;451.25;96.74;92.9;24.36;155.78;22.4
5SORBP-4;5;sorb+;4;451;1.06;0.25;451.25;96.74;96.7;25.35;153.74;23.1
2.5SORBN-1;2.5;sorb-;1;226;0.53;0.13;225.63;48.37;49.9;15.04;15.24;7.4
2.5SORBN-2;2.5;sorb-;2;226;0.53;0.13;225.63;48.37;52.03;15.68;19.21;7.33
2.5SORBN-3;2.5;sorb-;3;226;0.53;0.13;225.63;48.37;52.57;15.84;15.82;6.94
2.5SORBN-4;2.5;sorb-;4;226;0.53;0.13;225.63;48.37;53.39;16.09;16.58;7.38
2.5SORBP-1;2.5;sorb+;1;226;0.53;0.13;225.63;48.37;34.21;9.1;58.22;17.71
2.5SORBP-2;2.5;sorb+;2;226;0.53;0.13;225.63;48.37;27.41;7.29;72.44;22.73
2.5SORBP-3;2.5;sorb+;3;226;0.53;0.13;225.63;48.37;38.12;10.14;52.67;16.26
2.5SORBP-4;2.5;sorb+;4;226;0.53;0.13;225.63;48.37;41.26;10.98;46.11;13.43
1.25SORBN-1;1.25;sorb-;1;113;0.27;0.06;112.81;24.18;11.45;3.29;8.7;6.76
1.25SORBN-2;1.25;sorb-;2;113;0.27;0.06;112.81;24.18;12.05;3.46;6.96;5.68
1.25SORBN-3;1.25;sorb-;3;113;0.27;0.06;112.81;24.18;11.87;3.41;8.7;6.82
1.25SORBN-4;1.25;sorb-;4;113;0.27;0.06;112.81;24.18;10.97;3.15;8.84;7.09
1.25SORBP-1;1.25;sorb+;1;113;0.27;0.06;112.81;24.18;10.44;2.86;16;12.71
1.25SORBP-2;1.25;sorb+;2;113;0.27;0.06;112.81;24.18;10.94;3;15.73;12.71
1.25SORBP-3;1.25;sorb+;3;113;0.27;0.06;112.81;24.18;10.24;2.81;16.25;13.01
1.25SORBP-4;1.25;sorb+;4;113;0.27;0.06;112.81;24.18;11.4;3.13;15.42;12.21
0SORBN-1;0;sorb-;1;0;0;0;451;96.68;0;0;304.42;79.42
0SORBN-2;0;sorb-;2;0;0;0;451;96.68;0;0;304.93;81.34
0SORBN-3;0;sorb-;3;0;0;0;451;96.68;0;0;303.28;84.5
0SORBP-1;0;sorb+;1;0;0;0;451;96.68;0;0;340.38;97.91
0SORBP-2;0;sorb+;2;0;0;0;451;96.68;0;0;335.13;103.63
0SORBP-3;0;sorb+;3;0;0;0;451;96.68;0;0;337.55;97.24
