ID;GROUP;DENSITY;SUBST;REPLICATE;PEAK_TEMP;PEAK_BIOMASS;DAYS_PEAK;GR;SGR;FCR;WRI;SR;BCE
5SORBN-1;5SORBN;5;sorb-;1;32.6;0.211;12;6.2;0.47;2.9;7.6;0.76;26.5
5SORBN-2;5SORBN;5;sorb-;2;31.6;0.293;12;7.9;0.5;3.2;7.9;0.8;25.1
5SORBN-3;5SORBN;5;sorb-;3;32.1;0.211;12;7.3;0.49;3.1;7.5;0.75;24.3
5SORBN-4;5SORBN;5;sorb-;4;32.9;0.205;12;6.1;0.47;2.9;7.3;0.73;25
5SORBP-1;5SORBP;5;sorb+;1;31.6;0.177;15;4.6;0.44;2.9;7.6;0.76;26.3
5SORBP-2;5SORBP;5;sorb+;2;30.9;0.245;15;6.4;0.47;3;6.5;0.65;21.6
5SORBP-3;5SORBP;5;sorb+;3;32.2;0.182;15;4.7;0.44;3.1;7.7;0.77;25.2
5SORBP-4;5SORBP;5;sorb+;4;31.8;0.191;15;4.9;0.45;2.9;7.6;0.76;26.2
2.5SORBN-1;2.5SORBN;2.5;sorb-;1;30.9;0.253;9;6.6;0.48;2.7;8.5;0.85;31.1
2.5SORBN-2;2.5SORBN;2.5;sorb-;2;;0.245;9;6.3;0.47;2.6;8.5;0.85;32.4
2.5SORBN-3;2.5SORBN;2.5;sorb-;3;30.9;0.233;9;5.9;0.47;2.6;8.6;0.86;32.7
2.5SORBN-4;2.5SORBN;2.5;sorb-;4;31.3;0.231;9;6.1;0.47;2.6;8.5;0.85;33.3
2.5SORBP-1;2.5SORBP;2.5;sorb+;1;28.9;0.182;9;5.8;0.46;3.4;6.3;0.63;18.8
2.5SORBP-2;2.5SORBP;2.5;sorb+;2;28.9;0.184;9;6.2;0.47;3.6;5.3;0.53;15.1
2.5SORBP-3;2.5SORBP;2.5;sorb+;3;29.4;0.157;9;5.1;0.45;3.2;6.6;0.66;21
2.5SORBP-4;2.5SORBP;2.5;sorb+;4;29.6;0.145;9;5.8;0.47;3.2;7.2;0.72;22.7
1.25SORBN-1;1.25SORBN;1.25;sorb-;1;29.9;0.184;9;3.9;0.42;5.4;7.2;0.72;13.6
1.25SORBN-2;1.25SORBN;1.25;sorb-;2;29.6;0.173;9;3;0.4;5.4;7.7;0.77;14.3
1.25SORBN-3;1.25SORBN;1.25;sorb-;3;29.2;0.215;9;3.5;0.42;5.2;7.2;0.72;14.1
1.25SORBN-4;1.25SORBN;1.25;sorb-;4;29.1;0.175;9;3.3;0.41;5.5;7.1;0.71;13
1.25SORBP-1;1.25SORBP;1.25;sorb+;1;28.5;0.131;12;2.9;0.4;4.1;4.7;0.47;11.8
1.25SORBP-2;1.25SORBP;1.25;sorb+;2;28.8;0.133;12;2.9;0.4;3.9;4.7;0.47;12.4
1.25SORBP-3;1.25SORBP;1.25;sorb+;3;28.1;0.184;12;4.2;0.43;4.1;4.6;0.46;11.6
1.25SORBP-4;1.25SORBP;1.25;sorb+;4;28.9;0.117;12;3.1;0.4;3.9;5;0.5;12.9
0SORBN-1;0SORBN;0;sorb-;1;28.8;;;;;;;;
0SORBN-2;0SORBN;0;sorb-;2;29;;;;;;;;
0SORBN-3;0SORBN;0;sorb-;3;28.7;;;;;;;;
0SORBP-1;0SORBP;0;sorb+;1;28.3;;;;;;;;
0SORBP-2;0SORBP;0;sorb+;2;27.8;;;;;;;;
0SORBP-3;0SORBP;0;sorb+;3;28;;;;;;;;
