ID;GROUP;DENSITY;SUBST;REPLICATE;PH;H2O_REDUCT_REL;VS_REDUCT_REL;C_REL;N_REL;CN_ratio
FSORBN-1;FSORBN;Fresh;sorb-;1;5.35;;;48.65;2.7186;17.8952402
FSORBN-2;FSORBN;Fresh;sorb-;2;5.36;;;50.2;2.9479;17.02907154
FSORBN-3;FSORBN;Fresh;sorb-;3;5.33;;;49.12;2.9772;16.49872363
FSORBN-4;FSORBN;Fresh;sorb-;4;5.35;;;49.06;2.8542;17.18870437
FSORBP-1;FSORBP;Fresh;sorb+;1;5.35;;;48.65;2.7186;17.8952402
FSORBP-2;FSORBP;Fresh;sorb+;2;5.36;;;50.2;2.9479;17.02907154
FSORBP-3;FSORBP;Fresh;sorb+;3;5.33;;;49.12;2.9772;16.49872363
FSORBP-4;FSORBP;Fresh;sorb+;4;5.35;;;49.06;2.8542;17.18870437
5SORBN-1;5SORBN;5;sorb-;1;7.94;0.634901868;0.799086917;42.67;3.2175;13.26184926
5SORBN-2;5SORBN;5;sorb-;2;7.69;0.652906923;0.828215953;38.35;2.2744;16.86158987
5SORBN-3;5SORBN;5;sorb-;3;7.86;0.630872064;0.783433579;42.64;2.5498;16.72288023
5SORBN-4;5SORBN;5;sorb-;4;8.08;0.634053874;0.770007248;40.94;3.5127;11.65485239
5SORBP-1;5SORBP;5;sorb+;1;8;0.654000948;0.795238248;44.54;3.0206;14.74541482
5SORBP-2;5SORBP;5;sorb+;2;7.76;0.589423356;0.681292907;45.84;2.212;20.72332731
5SORBP-3;5SORBP;5;sorb+;3;7.92;0.623774841;0.805907659;41.46;1.4343;28.90608659
5SORBP-4;5SORBP;5;sorb+;4;7.59;0.631481851;0.804134589;39.77;1.8298;21.73461581
2.5SORBN-1;2.5SORBN;2.5;sorb-;1;7.49;0.955783148;0.884462124;33.14;1.8251;18.15790916
2.5SORBN-2;2.5SORBN;2.5;sorb-;2;7.5;0.932966134;0.870811529;48.82;2.7462;17.77729226
2.5SORBN-3;2.5SORBN;2.5;sorb-;3;7.44;0.949921221;0.890987528;32.75;1.6795;19.49985115
2.5SORBN-4;2.5SORBN;2.5;sorb-;4;7.4;0.948096742;0.885087997;31.75;1.6871;18.81927568
2.5SORBP-1;2.5SORBP;2.5;sorb+;1;7.78;0.771476042;0.665087734;46.64;2.4819;18.79205447
2.5SORBP-2;2.5SORBP;2.5;sorb+;2;7.07;0.71954286;0.641765477;33.29;1.7951;18.54492786
2.5SORBP-3;2.5SORBP;2.5;sorb+;3;6.82;0.794599668;0.692713157;45.92;2.0366;22.54738289
2.5SORBP-4;2.5SORBP;2.5;sorb+;4;7.42;0.815657711;0.759138141;41.82;1.6693;25.05241718
1.25SORBN-1;1.25SORBN;1.25;sorb-;1;6.57;0.978165622;0.74987864;43.98;2.5709;17.10684974
1.25SORBN-2;1.25SORBN;1.25;sorb-;2;6.65;0.985539165;0.793047698;42.18;2.5046;16.84101254
1.25SORBN-3;1.25SORBN;1.25;sorb-;3;6.63;0.978786001;0.777016501;44.94;2.6888;16.71377566
1.25SORBN-4;1.25SORBN;1.25;sorb-;4;6.48;0.98020376;0.735944888;45.04;2.7485;16.38712025
1.25SORBP-1;1.25SORBP;1.25;sorb+;1;5.69;0.962884544;0.495149109;50.37;4.2886;11.74509164
1.25SORBP-2;1.25SORBP;1.25;sorb+;2;5.64;0.965934687;0.525177004;48;3.453;13.90095569
1.25SORBP-3;1.25SORBP;1.25;sorb+;3;5.7;0.96344784;0.483041905;47.17;3.2141;14.67595906
1.25SORBP-4;1.25SORBP;1.25;sorb+;4;5.79;0.963741771;0.517560149;47.58;2.8799;16.52140699
0SORBN-1;0SORBN;0;sorb-;1;3.95;0.364982979;0.186884916;49.09;3.1555;15.55696403
0SORBN-2;0SORBN;0;sorb-;2;3.92;0.368950108;0.171295668;50.8;4.0604;12.51108265
0SORBN-3;0SORBN;0;sorb-;3;3.85;0.382520433;0.137615716;49.96;3.3809;14.77713035
0SORBP-1;0SORBP;0;sorb+;1;3.68;0.315660655;0.017740668;49.47;3.0437;16.25324441
0SORBP-2;0SORBP;0;sorb+;2;3.61;0.346632139;0.075224667;48.35;3.2356;14.94313265
0SORBP-3;0SORBP;0;sorb+;3;3.64;0.321774401;0.147142432;48.98;2.8831;16.98865804
